Date_time,PM25,PM10,NO2,O3,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-06-23,13.95,40.97,50.0,92.0,0,2,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-24,14.65,42.92,45.0,109.0,0,2,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-25,12.99,42.13,54.25,86.5,0,2,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-26,15.99,45.31,67.25,115.5,0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-27,18.74,52.6,70.33,118.5,0,2,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-28,16.65,50.17,68.5,115.0,0,2,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-29,19.22,53.5,75.75,139.5,0,2,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-30,19.83,45.33,65.5,140.0,0,2,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-07-01,18.5,40.68,60.5,152.5,0,2,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-02,15.3,48.78,87.25,164.5,0,2,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-03,14.03,50.62,59.0,120.5,0,2,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-07-04,14.18,41.87,62.25,109.5,0,2,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,0
2018-07-05,15.19,39.25,62.25,119.0,0,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0
2018-07-06,17.75,45.91,73.25,122.0,0,2,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0
2018-07-07,21.52,47.27,71.0,177.0,0,2,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0
2018-07-08,21.55,45.49,76.0,151.5,0,2,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-09,11.9,42.7,51.25,87.5,0,2,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-10,11.71,27.87,35.75,72.5,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-07-11,12.9,26.9,44.75,78.0,0,1,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,0
